target,text
etc,"흉기난동 범죄 발생시 재난문자 발송한다 앞으로 흉기난동 범죄 발생시 신속하게 재난문자가 발송될 전망이다. 행정안전부는 최근 서울 신림역과 경기 성남시 서현역에서 발생한 흉기 난동 범죄에 대해 경찰청, 지방자치단체와 함께 적극 대응하기로 했다고 9일 밝혔다"
etc,"계속되는 살인 예고…협박죄 처벌은 글쎄 서울 신림동 번화가에서 흉기 난동 사건이 벌어진 이후 온라인 커뮤니티 곳곳에서 살인을 예고하는 게시물이 잇따라 올라오고 있다. 이를 놓고 시민 불안이 가중되는 만큼 사이버 테러 위협으로 보고 처벌 수위를 높여야 한다"
etc,"졸음운전 일평균 5.9건, 봄철 나들이로 교통사고 주의 경찰청은 봄철 나들이 차량 증가로 졸음운전 등 교통사고에 특별히 주의를 요청합니다. 서울 여의서로에서 벚꽃 감상 중인 시민들로 붐볐습니다."
accident,"서울 성동구 동부간선도로 화재, 운전자 사망 동부간선도로에서 차량이 가로등을 들이받아 화재가 발생했습니다. 40대 여성 운전자가 사망했습니다."
etc,"산림안전, 봄철 등산사고 예방 중요합니다. 제주도 소방안전본부는 한라산 및 오름 등 봄철 등산객 증가에 대비하여 안전 대책을 강화하고 있습니다."
accident,"서울 서초구 고물상 화재로 6명 대피 서초구 방배동 고물상 주거용 및 사무용 컨테이너에서 화재가 발생하여 6명이 대피했습니다."
etc,"봄철 어린이 사고 주의! 서울 종로구 서울대학교병원 소아전문 응급의료센터 앞에서 어린이 사고가 늘어나고 있습니다."
accident,"장마로 인한 쓰나미 경보 발령! 제천시에서 쓰나미 경보가 발령되어 주민들의 대피가 필요합니다. 안전한 장소로 이동하세요."
etc,"태풍으로 인한 해안 침수 우려! 제주도와 남해안 지역에서는 태풍으로 인한 해안 침수가 우려됩니다. 주변 해안지역에 계신 분들은 주의하세요."
accident,"비로 인한 도로 침수로 교통사고 발생! 강수량 증가로 인한 도로 침수로 인해 서울 강남구에서 교통사고 발생하였습니다."
etc,"태풍으로 인한 풍량 증가, 주의하세요! 경기도 일부 지역에서는 태풍으로 인한 풍량 증가로 인한 피해가 발생하고 있습니다. 안전한 장소로 대피하세요."
accident,"비로 인한 산사태 발생! 비로 인한 산사태가 경남 양산시에서 발생하여 주변 주민들명 중상."
etc,"장마로 인한 도로 침수로 교통혼잡 발생! 서울 지역에서는 장마로 인한 도로 침수로 교통혼잡이 발생하고 있습니다. 안전운전하세요."
accident,"태풍으로 인한 가로수 추락 사고 발생! 부산 해운대구에서 태풍으로 인한 가로수가 추락하여 차량 피해가 발생하였습니다."
accident,"장마로 인한 지반 붕괴로 인명피해 발생! 경기도 화성시에서 장마로 인한 지반 붕괴로 인명피해가 발생하였습니다."
accident,"태풍으로 인한 항구 시설물 파손 사고 발생! 인천 항구에서 태풍으로 인한 항구 시설물 파손 사고가 발생하였습니다."
accident,"장마로 인한 침수로 인명피해 발생! 충남 당진시에서 장마로 인한 침수로 인명피해가 발생하였습니다."
etc,"장마철 주행 시 교통사고 예방 요령! 장마철에는 도로가 습기로 인해 미끄러운 상황이 발생할 수 있으니 안전운전에 유의하세요."
etc,"비가 내리는 날 안전운전 팁! 비가 내리는 날에는 미끄럼 방지를 위해 차량 속도를 줄이고 안전거리를 유지하세요."
etc,"태풍 대비 안전수칙! 태풍이 예상되는 날에는 외출을 자제하고, 물품을 고정시키고 창문을 닫아주세요."
etc,"비 올 때의 안전한 운전 습관! 비가 오는 날에는 브레이크 및 가속을 부드럽게 조작하고, 빗길 주행 시 차량 간격을 넓혀주세요."
etc,"장마철 안전 운전을 위한 준비물! 장마철에는 우산, 비방수복, 비상등 등을 차량 내에 항상 준비해두세요."
etc,"태풍으로 인한 피해를 예방하는 방법! 태풍이 예상되는 날에는 창문과 문을 닫고 외출을 자제하고, 비상용품을 준비하세요."
etc,"비올 때 안전하게 걷는 방법! 우산이나 방수복을 준비하고, 미끄럼 방지를 위해 조심스럽게 보행하세요."
etc,"장마철 안전 운전 팁! 미끄러운 도로 조심하고 급가속, 급제동을 피하세요. 안전띠를 착용하고 안전거리를 유지하세요."
etc,"태풍에 대비한 안전한 대피 준비물! 태풍이 예상되는 날에는 음식물과 생활필수품을 비치하고 안전한 장소로 대피하세요."
etc,"비 올 때 안전한 주행을 위한 조언! 비가 내리는 날에는 가속 및 감속을 조심하고, 미끄러운 도로에서는 브레이크를 부드럽게 밟으세요."
accident,"밤늦게 걷고 있던 여성, 묻지마 폭행 당해 사망… 가해자 도주 중 경찰 추적중입니다."
accident,"고속도로 휴게소서 묻지마 폭행 사건 발생! 피해자 심각한 부상 입고 응급실로 이송 중입니다."
accident,"주말 야외 공연장에서 묻지마 폭행 사건 발생! 경찰이 가해자를 수사 중입니다."
accident,"대도시 지하철에서 묻지마 폭행 사건 발생! 피해자가 신고를 통해 가해자를 식별 중입니다."
accident,"밤길에 걷던 남성, 묻지마 폭행에 의해 경미한 부상을 입었습니다."
accident,"술집 앞에서 묻지마 폭행에 희생된 시민, 현장에 경찰이 출동 중입니다."
accident,"상가 주차장에서 묻지마 폭행으로 부상 입은 시민, 병원으로 이송 중입니다."
accident,"산책로에서 묻지마 폭행 당해 인명 피해가 발생했습니다. 경찰이 수사 중입니다."
accident,"밤길에 혼자 걷던 여성, 묻지마 폭행 사건에 희생되었습니다. 가해자는 경찰에 의해 수배 중입니다."
accident,"밤늦게 동네 공원에서 묻지마 폭행에 피해를 입은 시민, 현장에 구조대가 출동 중입니다."
etc,"지마 폭행 예방을 위한 안전한 외출 팁! 외출 시에는 혼자가 아닌 친구나 가족과 함께 다니세요."
etc,"야간에는 혼자 다니지 말고, 주변에 밝은 곳이나 사람이 많은 곳을 선택하여 다니세요."
etc,"외출 시에는 귀중품을 최소화하고, 돈이나 카드 등은 잘 감추어 다니세요."
etc,"타인의 도움을 받을 때는 주의하고, 귀가 시에는 안전한 길로 선택하여 이동하세요."
etc,"야간에는 혼자 다니지 말고, 사람들이 많은 곳을 선택하여 다니세요."
etc,"타인의 도움을 받을 때는 신중하게 선택하세요. 묻지마 폭행 사건에 휘말리지 않도록 주의하세요."
etc,"귀가 시에는 안전한 길을 통해 이동하고, 위급한 상황 시에는 주변을 도와주는 사람에게 도움을 요청하세요."
accident,"밤늦게 걷고 있던 남성이 골목에서 무장한 폭력단체에 습격당해 심각한 상처를 입었습니다. 가해자들은 경찰에 의해 체포되었습니다."
accident,"주택가에서 부부 간의 폭력사건이 발생했습니다. 피해자는 응급실로 이송되었고, 경찰이 가해자를 수사 중입니다."
accident,"공원에서 아이들이 놀던 중에 폭행 사건이 발생했습니다. 가해자는 도주 중이며 경찰이 추적 중입니다."
accident,"상가 거리에서 다툼으로 인한 폭행사건이 발생했습니다. 경찰이 가해자를 신속히 검거 중입니다."
accident,"술집에서 다툼으로 인한 대규모 폭행 사건 발생! 다수의 부상자가 발생하였으며, 경찰이 사건을 조사 중입니다."
accident,"밤길에 혼자 걷던 여성이 폭행으로 심각한 부상을 입었습니다. 가해자는 경찰에 의해 체포되었습니다."
accident,"대중교통 이용 중에 갈등으로 인한 폭행 사건이 발생했습니다. 경찰이 CCTV를 통해 가해자를 수사 중입니다."
accident,"주차장에서 다툼으로 인한 폭행으로 희생된 시민이 발생했습니다. 경찰이 가해자를 수사 중입니다."
accident,"밤늦게 걸어가던 골목에서 폭행으로 인한 부상자가 발생했습니다. 경찰이 가해자를 추적 중입니다."
accident,"아파트 단지에서 인근 주민들 사이에서 폭행 사건이 발생하여 주민들이 불안해하고 있습니다. 경찰이 사건을 조사 중입니다."
etc,"외출 시에는 혼자 다니지 말고, 친구나 가족과 함께 다니세요. 모르는 사람에게는 신뢰할 수 없는 도움을 받지 마세요."
etc,"야간에는 혼자 다니지 말고, 밝은 곳이나 사람이 많은 곳을 선택하여 다니세요. 긴급 상황 시에는 주변 사람들에게 도움을 요청하세요."
etc,"외출 시에는 귀중품을 최소화하고, 주변 상황을 주의 깊게 살펴보세요. 이상한 사람에게는 가까이 가지 마세요."
etc,"다급한 상황에서도 주변에 도움을 요청하세요. 이상한 사람에게는 가까이 가지 마세요."
etc,"타인의 도움을 받을 때는 주의하고, 신뢰할 수 있는 사람에게만 도움을 요청하세요."
accident,"공원에서 산책 중인 가족이 갑작스러운 낙뢰로 인해 심각한 부상을 입었습니다. 응급 구조대가 현장에 출동하여 치료를 시작했습니다."
accident,"골프장에서 골퍼들이 경기를 벌이던 중 갑작스러운 낙뢰가 발생하여 다수의 부상자가 발생했습니다. 구조 대원들이 부상자들을 구조하고 있습니다."
accident,"해변에서 바다에서 수영하던 사람들이 낙뢰로 인해 응급실로 옮겨졌습니다. 구조 대원들이 추가적인 구조 작업을 진행하고 있습니다."
accident,"산악 등산 중이던 등산객들이 갑작스러운 낙뢰로 인해 잃어버린 산악 등반로에서 도와주고 있는 중입니다."
accident,"시내 곳곳에서 걷고 있던 사람들이 낙뢰로 인한 공포에 직면했습니다. 구조 대원들이 응급 상황을 처리하고 있습니다."
accident,"주택가에서 작은 아이가 낙뢰에 맞아 응급실로 이송되었습니다. 현재 의료진이 아이를 치료 중입니다."
accident,"공원에서 피크닉을 즐기던 가족이 낙뢰로 인해 분리된 상태입니다. 구조 대원들이 가족을 모으고 있습니다."
accident,"고산지대에서 등산 중이던 등산객들이 갑작스러운 낙뢰로 인해 분산되어 있습니다. 구조 대원들이 등산객들을 안전한 장소로 이송 중입니다."
accident,"농장에서 일하는 농부들이 낙뢰에 맞아 응급 상황입니다. 응급 의료진이 현장으로 투입되어 있습니다."
accident,"고속도로 주변에서 운전 중이던 차량이 낙뢰로 인해 사고를 당했습니다. 구조 대원들이 사고 현장으로 향하고 있습니다."
etc,"낙뢰가 예상되는 날씨에는 야외 활동을 자제하세요. 안전한 실내로 이동하세요."
etc,"낙뢰가 예상되는 지역에서는 농장이나 공원 등을 피하고 안전한 실내 활동을 권장합니다."
etc,"낙뢰가 발생할 가능성이 있는 지역에서는 농장이나 골프장 등 오픈된 공간을 피하고 실내로 대피하세요."
etc,"낙뢰가 예상되는 지역에서는 산악 등반이나 등산을 자제하고 안전한 실내 활동을 추천합니다."
etc,"낙뢰가 예상되는 날씨에는 가능한 실내 활동을 하고, 외출 시에는 비상용 우산을 준비하세요."
etc,"낙뢰가 예상되는 지역에서는 가능한 외출을 자제하고, 집에서 안전하게 보내세요."
etc,"낙뢰가 예상되는 날씨에는 야외 활동을 자제하고, 주변 환경을 주의 깊게 관찰하세요."
etc,"낙뢰가 예상되는 지역에서는 가급적 야외 활동을 삼가고, 비상용 전화나 라디오를 통해 날씨 소식을 확인하세요."
etc,"낙뢰가 예상되는 지역에서는 가능한 한 농장이나 산악 등반을 자제하고, 실내에서 안전하게 보내세요."
etc,"낙뢰가 발생할 가능성이 높은 지역에서는 가급적 외출을 자제하고, 안전한 실내 활동을 추천합니다."
accident,"도심 아파트에서 갑작스러운 지진으로 건물이 흔들리자 주민들이 비명을 지르고 대피했습니다. 일부 건물에서는 벽돌이 무너져 다수의 부상자가 발생했습니다."
accident,"지진으로 인해 산악지대에서 등산 중이던 등산객들이 붕괴된 바위와 함께 급격히 떨어지면서 다쳤습니다. 구조대가 현장으로 투입되어 부상자를 구조하고 있습니다."
accident,"해변에서 바다를 즐기던 사람들이 갑작스러운 지진으로 인해 파도에 휩쓸려 사고가 발생했습니다. 해경이 구조 작업을 진행 중입니다."
accident,"도심 지역에서 건설 중이던 고층 빌딩이 갑작스러운 지진으로 인해 붕괴되었습니다. 건설현장에서 작업 중인 노동자들이 대피하려 하고 있습니다."
accident,"지진으로 인해 고속도로에서 주행 중이던 차량들이 사고를 당했습니다. 현장에서 응급 구조대가 부상자들을 치료하고 있습니다."
accident,"공원에서 피크닉을 즐기던 가족들이 지진으로 인해 주변에 떨어지는 나무와 잔해 때문에 대피하고 있습니다."
accident,"지진으로 인해 쇼핑몰 내에서 쇼핑을 하던 손님들이 혼란에 빠졌습니다. 경비원들이 손님들을 안전한 장소로 이동시키고 있습니다."
accident,"골프장에서 경기 중이던 골퍼들이 갑작스러운 지진으로 인해 공격적인 동물들의 침입을 당했습니다. 경찰이 추가적인 보안 조치를 취하고 있습니다."
accident,"지진으로 인해 도심에서 건물이 붕괴되었습니다. 구조 대원들이 붕괴된 건물에서 생존자를 찾고 있습니다."
accident,"지진으로 인해 시내 곳곳에서 전기 시설이 손상되어 전력이 차단되었습니다. 전문가들이 복구 작업을 진행 중입니다."
etc,지진이 예상되는 지역에 사는 사람들은 지진 대피 계획을 준비하고 가족들과 함께 합의하세요."
etc,"지진 대비를 위해 실내에서 사용 가능한 비상품을 준비하세요. 음식물, 물, 의약품 등을 보관해야 합니다."
etc,"지진 대비를 위해 주변의 안전한 구조물을 인지하고, 지진 대피 계획을 만들어 가족과 함께 연습하세요."
etc,"지진이 발생할 경우에는 유리창이나 큰 가구 아래로 몸을 숨기세요. 또한 가까이 있는 건물이나 구조물에서 멀어지세요."
etc,"지진이 발생하면 빠른 대피를 위해 대피로를 미리 알아두세요. 가능한한 엘리베이터를 이용하지 마세요."
etc,"지진 발생 시 무리를 이루지 않고 평온하게 대피하도록 가이드하며, 낙상하거나 파열된 유리가 부상을 일으키지 않도록 조심하세요."
etc,"지진이 예상되는 지역에 거주하는 경우, 안전한 장소로 대피할 수 있는 계획을 만들어 두세요. 가족들과 연락 수단을 미리 정하고 통신 장비를 확인하세요."
etc,"지진 예방을 위해 건축 규제를 준수하고 안전한 건물을 사용하세요. 지진으로부터 안전한 건물을 선별하는 것이 중요합니다."
etc,"지진 발생 시 외출을 삼가고 안전한 장소로 대피하세요. 특히 주변의 위험한 건물이나 구조물에서 멀리 떨어지세요."
etc,"지진 예방을 위해 비상용품을 준비하고 가정 내의 가스, 전기, 수도 등을 안전하게 확인하세요. 필요한 경우에는 전문가의 도움을 받으세요."
accident,"태풍으로 인한 강력한 바람으로 고층 건물의 창문이 깨지면서 유리 조각이 아래로 떨어져 통행인들에게 부상을 입힌 사고가 발생했습니다. 구조대가 부상자를 신속히 구조 중입니다."
accident,"한 강변에서 캠핑을 즐기던 가족들이 폭우로 인해 물에 잠겨 있던 캠프장에서 구조되었습니다. 소방관들이 가족들을 안전한 장소로 이송 중입니다."
accident,"산악지대에서 등산 중인 인원들이 갑작스러운 대형 산사태로 인해 피해를 입었습니다. 구조 작업이 진행 중이며 부상자들을 안전한 곳으로 이송 중입니다."
accident,"도심에서 열린 야구 경기장에서 강한 장대비로 인해 스탠드 부분이 붕괴되어 수많은 관중들이 다쳤습니다. 구조대가 부상자를 치료하기 위해 현장에 출동하고 있습니다."
accident,"지하철 역에서 출구로 나오던 시민들이 갑작스러운 지진으로 인해 발생한 구조물 붕괴로 인해 갇혀있습니다. 구조대가 신속히 대응 중입니다."
accident,"장마로 인해 하천이 범람하여 주택가가 침수되면서 대피 중인 시민들이 헬기 구조대의 도움을 기다리고 있습니다."
accident,"폭풍우로 인한 트리거 식물사고가 발생해 도심 일대가 큰 혼란에 빠졌습니다. 응급 구조대가 부상자를 치료하기 위해 동원되었습니다."
accident,"한강에서 선상 파티를 즐기던 사람들이 돌풍과 강한 우중충한 비로 인해 선박이 전복되는 사고가 발생했습니다. 구조대가 신속한 구조 작업을 위해 출동 중입니다."
accident,"대규모 불이 난 산지에서 소방대원들이 산불을 진압하던 중 갑작스러운 산사태로 인해 구조작업에 참여하던 인원들이 사망하고 부상한 사고가 발생했습니다."
accident,"도심 교차로에서 교통사고가 발생해 버스와 승용차가 충돌하면서 여러 명이 다쳤습니다. 응급 구조대가 부상자를 치료하기 위해 현장에 출동 중입니다."
etc,"재난 예방을 위해 가정 내 비상품을 준비하세요. 물과 음식물, 의약품 등이 필수입니다."
etc,"재난 발생 시 안전한 대피로를 미리 파악하고 가족과 함께 연습해보세요. 긴급 상황에서 신속한 행동이 중요합니다."
etc,"재난 대비를 위해 응급 연락망을 설정하고 긴급 상황 시 가족과 연락할 수 있는 방법을 항상 확인하세요."
etc,"재난 상황에서는 패닉하지 말고 주변 상황을 평가하고 안전한 장소로 이동하세요. 차분함이 생존을 결정짓는 중요한 요소입니다."
etc,"재난 대비를 위해 비상용품을 갖추고 비상가방을 준비하세요. 필요한 물품을 미리 포장하여 보관해두면 유용합니다."
etc,"재난 발생 시 가정 내 화재와 가스 차단장치를 숙지하고, 화재 대피로와 비상구를 인지해두세요."
etc,"재난 상황에서는 도움을 요청할 수 있는 긴급 연락처를 기억하고 있어야 합니다. 필요한 경우 신속하게 도움을 요청하세요."
etc,"재난 예방을 위해 생활 속에서 안전한 습관을 기르고, 가정 내의 위험 요소를 최소화하세요."
etc,"재난 발생 시 주변 환경을 주의 깊게 살피고, 위험 요소를 파악하고 대비하세요. 조용하고 냉정한 판단이 필요합니다."
etc,"재난 대비를 위해 가족과 함께 대피 계획을 세우고 비상 연락망을 확립하세요. 함께 협력하여 생존할 수 있도록 준비하세요."
accident,"갑작스러운 폭우로 인해 도로가 침수되어 차량이 미끄러져 사고가 발생했습니다. 응급 구조대가 부상자를 치료하고 침수된 차량을 구조 중입니다."
accident,"호우로 인해 산사태가 발생하여 주택가가 토사에 묻혀 2명이 실종되고 5명이 다쳤습니다. 구조대가 실종자를 수색하고 부상자를 치료 중입니다."
accident,"강한 바람과 비로 인해 건물 옥상에서 작업 중이던 작업자가 추락해 사망하는 사고가 발생했습니다. 사망자의 유족을 위해 조사가 진행 중입니다."
accident,"호우로 인해 하천이 범람하여 주변 도로가 침수되어 차량이 침수되고 통행이 차단되었습니다. 구조대가 침수 차량을 제거하고 통행로를 정비 중입니다."
accident,"폭우로 인해 하천에서 낚시를 즐기던 사람들이 갑작스러운 홍수에 휩쓸려 실종되었습니다. 구조대가 실종자 수색 작업을 진행 중입니다."
accident,"도로 침수로 인해 차량이 미끄러져 도로 밖으로 이탈하는 사고가 발생하여 교통 혼잡이 심각합니다. 응급 서비스가 사고 현장에 출동 중입니다."
accident,"장대비로 인해 차량 사이에서 갑작스러운 미관정지로 연쇄 추돌 사고가 발생했습니다. 응급 구조대가 부상자를 치료 중이며 교통 통제가 이루어지고 있습니다."
accident,"비로 인해 창문 유리가 깨져 내리면서 행인들이 다쳤습니다. 응급 서비스가 부상자를 치료 중이며 유리 조각을 정리하는 작업이 진행 중입니다."
accident,"강한 바람과 비로 인해 건물 지붕이 붕괴되어 인근 건물에 피해가 발생했습니다. 구조대가 피해를 조사하고 안전 조치를 취하고 있습니다."
accident,"호우로 인해 하천둑이 붕괴되어 인근 주택이 침수되는 사고가 발생했습니다. 구조대가 주택 주변을 터뜨리고 피난민들을 대피시키고 있습니다."
etc,"비가 오는 날에는 외출 시 우산과 방수용품을 지참하고, 미끄럼 방지용 신발을 신어 안전에 유의하세요."
etc,"장마철에는 지하실이 침수될 수 있으므로 소중한 물건은 높은 곳에 보관하고 침수 피해를 최소화하세요."
etc,"비가 오는 날에는 운전 시 안전 운전에 특히 유의하세요. 미끄러운 도로로 인한 교통사고를 예방하기 위해 속도를 줄이고 안전거리를 유지하세요."
etc,"비가 오는 날은 지나치게 미끄러운 길이 많으므로 보행 시 넓은 보도를 통해 안전하게 이동하세요."
etc,"비가 예상되는 날에는 외출 시 비상용품을 가방에 넣고 비상 연락처를 기억하세요. 긴급 상황에 대비하여 사전에 준비하세요."
etc,"비가 오는 날은 미끄러운 길뿐만 아니라 지나치게 습기가 높은 환경에서도 안전사고가 발생할 수 있으니 주의가 필요합니다."
etc,"비가 오는 날은 차량 내부가 습기로 인해 시야가 불편할 수 있으므로, 유리창을 깨끗이 닦고 속도를 줄여 운전하세요."
